"","politician","polltype","subgroup","start_date","end_date","pollster_rating_name","sample_size","raw_sample_size","population","weight","approve","disapprove","approve_adjusted","disapprove_adjusted","tracking","url","poll_id","question_id","created_at","timestamp","pollster_rating_id","subpopulation"
"57","Donald Trump",NA,NA,"1/5/21","1/7/21","Rasmussen Reports",1500,NA,"lv",NA,48,50,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",74111,139016,"1/8/21 09:18",NA,277,NA
"58","Donald Trump",NA,NA,"1/1/21","1/7/21","Morning Consult",31920,NA,"rv",NA,41,53,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74195,139204,"1/14/21 10:01",NA,218,NA
"59","Donald Trump",NA,NA,"1/4/21","1/6/21","Rasmussen Reports",1500,NA,"lv",NA,49,50,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",74065,138937,"1/7/21 09:13",NA,277,NA
"60","Donald Trump",NA,NA,"12/31/20","1/6/21","Morning Consult",31920,NA,"rv",NA,41,53,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74194,139203,"1/14/21 10:01",NA,218,NA
"61","Donald Trump",NA,NA,"1/4/21","1/5/21","Morning Consult",1893,NA,"rv",NA,41,57,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/06080112/210104_crosstabs_MC_WASHINGTON_RVs_v1_AUTO.pdf",74040,138884,"1/6/21 10:39",NA,218,NA
"62","Donald Trump",NA,NA,"1/4/21","1/5/21","Ipsos",1324,NA,"a",NA,38,57,NA,NA,NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_06_2021.pdf",74066,138938,"1/7/21 10:16",NA,154,NA
"63","Donald Trump",NA,NA,"1/4/21","1/5/21","Ipsos",1133,NA,"rv",NA,40,58,NA,NA,NA,"https://www.ipsos.com/sites/default/files/ct/news/documents/2021-01/2021_reuters_tracking_-_core_political_presidential_approval_tracker_01_06_2021.pdf",74066,138939,"1/7/21 10:17",NA,154,NA
"64","Donald Trump",NA,NA,"1/4/21","1/5/21","Morning Consult",2200,NA,"a",NA,39,56,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/07122331/210113_crosstabs_MC_BRANDS_DRY_JANUARY_Adults_v1.pdf",74109,139012,"1/8/21 08:58",NA,218,NA
"65","Donald Trump",NA,NA,"1/3/21","1/5/21","YouGov",1500,NA,"a",NA,42,52,NA,NA,NA,"https://docs.cdn.yougov.com/9dnks44r2n/econTabReport.pdf",74039,138882,"1/6/21 10:38",NA,391,NA
"66","Donald Trump",NA,NA,"1/3/21","1/5/21","YouGov",1278,NA,"rv",NA,43,55,NA,NA,NA,"https://docs.cdn.yougov.com/9dnks44r2n/econTabReport.pdf",74039,138883,"1/6/21 10:39",NA,391,NA
"67","Donald Trump",NA,NA,"12/30/20","1/5/21","Rasmussen Reports",1500,NA,"lv",NA,47,51,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",74041,138885,"1/6/21 10:39",NA,277,NA
"68","Donald Trump",NA,NA,"12/30/20","1/5/21","Morning Consult",31920,NA,"rv",NA,41,53,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74092,138966,"1/7/21 11:09",NA,218,NA
"69","Donald Trump",NA,NA,"12/29/20","1/4/21","Rasmussen Reports",1500,NA,"lv",NA,47,51,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",73996,138834,"1/5/21 09:15",NA,277,NA
"70","Donald Trump",NA,NA,"12/29/20","1/4/21","Morning Consult",31920,NA,"rv",NA,41,53,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74091,138965,"1/7/21 11:09",NA,218,NA
"71","Donald Trump",NA,NA,"12/30/20","1/3/21","Harris Insights & Analytics",3787,NA,"rv",NA,50,50,NA,NA,NA,"https://thehill.com/hilltv/what-americas-thinking/532977-poll-50-percent-approve-of-trumps-job-as-president",74064,138936,"1/6/21 14:41",NA,133,NA
"72","Donald Trump",NA,NA,"12/28/20","1/3/21","Morning Consult",31920,NA,"rv",NA,41,53,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74090,138964,"1/7/21 11:09",NA,218,NA
"73","Donald Trump",NA,NA,"12/31/20","1/2/21","Morning Consult",2200,NA,"a",NA,41,57,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/04133440/2012121_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf",73995,138831,"1/5/21 08:57",NA,218,NA
"74","Donald Trump",NA,NA,"12/27/20","1/2/21","Morning Consult",31920,NA,"rv",NA,41,53,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74089,138963,"1/7/21 11:09",NA,218,NA
"75","Donald Trump",NA,NA,"12/26/20","1/1/21","Morning Consult",31920,NA,"rv",NA,41,53,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74088,138962,"1/7/21 11:08",NA,218,NA
"76","Donald Trump",NA,NA,"12/25/20","12/31/20","Morning Consult",31920,NA,"rv",NA,41,54,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74087,138961,"1/7/21 11:08",NA,218,NA
"77","Donald Trump",NA,NA,"12/29/20","12/30/20","Morning Consult",2200,NA,"a",NA,43,53,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/06122204/2012127_crosstabs_MC_BRANDS_HOLIDAY_GIFT_RETURN_Adults_v1_AUTO.pdf",74110,139013,"1/8/21 08:59",NA,218,NA
"78","Donald Trump",NA,NA,"12/28/20","12/30/20","Rasmussen Reports",1500,NA,"lv",NA,45,54,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",73920,138697,"12/31/20 09:14",NA,277,NA
"79","Donald Trump",NA,NA,"12/24/20","12/30/20","Morning Consult",31920,NA,"rv",NA,40,54,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74086,138960,"1/7/21 11:08",NA,218,NA
"80","Donald Trump",NA,NA,"12/23/20","12/29/20","Morning Consult",31920,NA,"rv",NA,40,55,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74085,138959,"1/7/21 11:08",NA,218,NA
"81","Donald Trump",NA,NA,"12/22/20","12/29/20","Rasmussen Reports",1500,NA,"lv",NA,47,52,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",73909,138673,"12/30/20 10:30",NA,277,NA
"82","Donald Trump",NA,NA,"12/22/20","12/28/20","Morning Consult",31920,NA,"rv",NA,40,55,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74084,138958,"1/7/21 11:08",NA,218,NA
"83","Donald Trump",NA,NA,"12/21/20","12/28/20","Rasmussen Reports",1500,NA,"lv",NA,46,52,NA,NA,TRUE,"https://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history",73897,138645,"12/29/20 09:20",NA,277,NA
"84","Donald Trump",NA,NA,"12/21/20","12/27/20","Morning Consult",31920,NA,"rv",NA,40,55,NA,NA,TRUE,"https://morningconsult.com/form/global-leader-approval/#section-61",74083,138957,"1/7/21 11:08",NA,218,NA
"85","Donald Trump",NA,NA,"12/24/20","12/26/20","Morning Consult",2200,NA,"a",NA,40,57,NA,NA,NA,"https://assets.morningconsult.com/wp-uploads/2021/01/04133501/2012120_crosstabs_CORONAVIRUS_CONTENT_Adults_v1_LM.pdf",73994,138830,"1/5/21 08:57",NA,218,NA
